,Category,Portion Size,per 100 gms
1,Bagel ( 1 average ),140,310
2,Biscuit digestives,86,480
3,Jaffa cake,48,370
4,Bread white (thick slice),96,240
5,Bread wholemeal (thick),88,220
6,Chapatis,250,300
7,Cornflakes,130,370
8,Crackerbread,17,325
9,Cream crackers,35,440
10,Crumpets,93,198
11,Flapjacks basic fruit mix,320,500
12,Macaroni (boiled),238,95
13,Muesli,195,390
14,Naan bread (normal),300,320
15,Noodles (boiled),175,70
16,Pasta ( normal boiled ),330,110
17,Pasta (wholemeal boiled ),315,105
18,Porridge oats (with water),193,55
19,Potatoes** (boiled),210,70
20,Potatoes** (roast),420,140
