,Category,Portion Size,per 100 gms
1,Cheese average,110,440
2,Cheddar types average reduced,,
3,fat,130,260
4,Cheese spreads average,90,270
5,Cottage cheese low fat,40,80
6,Cottage cheese,49,98
7,Cream cheese,200,428
8,Cream fresh half,128,160
9,Cream fresh single,160,200
10,Cream fresh double,340,430
11,Cream fresh clotted,480,600
12,Custard,210,100
13,Eggs ( 1 average size),90,150
14,Eggs fried,120,180
15,Fromage frais,125,125
16,Ice cream,200,180
17,Milk whole,175,70
18,Milk semi-skimmed,125,50
19,Milk skimmed,95,38
20,Milk Soya,90,36
21,Mousse flavored,120,140
22,Omelette with cheese,300,266
23,Trifle with cream,290,190
24,Yogurt natural,90,60
25,Yogurt reduced fat,70,45
