,Category,Portion Size,per 100 gms
1,PURE FAT,9,900
2,Bombay mix,250,500
3,Butter,112,750
4,Chewing gum,8,
5,Chocolate,200,500
6,Cod liver oil,135,900
7,Corn snack,125,500
8,Crisps (chips US) average,100,500
9,Honey,42,280
10,Jam,38,250
11,Lard,225,890
12,Low fat spread,50,400
13,Margarine,50,750
14,Mars bar,240,480
15,Mint sweets,10,
16,"Oils -corn, sunflower, olive",135,900
17,Popcorn average,150,460
18,Sugar white table sugar,20,400
19,Sweets (boiled),100,300
20,Syrup,15,300
21,Toffee,100,400
