,Category,Portion Size,per 100 gms
1,Apple (1 average),44,105
2,Apple cooking,35,9
3,Apricot,30,67
4,Avocado,150,2
5,Banana,107,26
6,Blackberries each,1,02
7,Blackcurrant each,11,025
8,Blueberries  (new) 100g,49,15
9,Cherry each,24,06
10,Clementine,24,5
11,Currants,5,14
12,Damson,28,72
13,One average date 5g,5,12
14,Dates with inverted sugar 100g,250,63
15,Figs,10,24
16,Gooseberries,26,065
17,Grapes 100g Seedless,50,15
18,one average Grape 6g,3,09
19,Grapefruit whole,100,23
20,Guava,24,44
21,Kiwi,34,8
22,Lemon,20,34
23,Lychees,3,07
24,Mango,40,95
25,Melon Honeydew (130g),36,9
26,Melon Canteloupe (130g),25,6
27,Nectarines,42,9
28,Olives,68,
