,Category,Portion Size,per 100 gms
1,Fish fingers,50,220
2,Gammon,320,280
3,Haddock fresh,200,110
4,Halibut fresh,220,125
5,Ham,6,240
6,Herring fresh grilled,300,200
7,Kidney,200,160
8,Kipper,200,120
9,Liver,200,150
10,Liver pate,150,300
11,Lamb (roast),300,300
12,Lobster boiled,200,100
13,Luncheon meat,300,400
14,Mackeral,320,300
15,Mussels,90,90
16,Pheasant roast,200,200
17,Pilchards (tinned),140,140
18,Prawns,180,100
19,Pork,320,290
20,Pork pie,320,450
21,Rabbit,200,180
22,Salmon fresh,220,180
23,Sardines tinned in oil,220,220
24,Sardines in tomato sauce,180,180
25,Sausage pork fried,250,320
26,Sausage pork grilled,220,280
27,Sausage roll,290,480
28,Scampi fried in oil,400,340
29,Steak & kidney pie,400,350
